county,state_group,program_status,anchor_industry,year,employment_raw,employment,treated,post_policy,treated_x_post,portal_note,brief_title,brief_url
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2018,"29,210",29210,1,0,0,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2019,"28,720 jobs",28720,1,0,0,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2020,~27.5k,27500,1,0,0,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2021,28.1 thousand,28100,1,0,0,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2022,30.0k,30000,1,1,1,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2023,31.2 K,31200,1,1,1,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2024,"33,215",33215,1,1,1,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mahoning County, OH",Ohio funded corridor,Upskilling Cohort,Steel components,2025,"36,035 jobs",36035,1,1,1,District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2018,18.5 thousand,18500,0,0,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2019,18.1k,18100,0,0,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2020,16.9 K,16900,0,0,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2021,"17,404",17404,0,0,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2022,"17,637 jobs",17637,0,1,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2023,~17.9k,17900,0,1,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2024,18.2 thousand,18200,0,1,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer County, PA",Pennsylvania benchmark district,No Grant,Plastics and molds,2025,18.4k,18400,0,1,0,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2018,35.7 thousand,35700,1,0,0,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2019,35.2k,35200,1,0,0,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2020,34.1 K,34100,1,0,0,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2021,"34,600",34600,1,0,0,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2022,"36,640 jobs",36640,1,1,1,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2023,~38.0k,38000,1,1,1,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2024,40.1 thousand,40100,1,1,1,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Stark County, OH",Ohio funded corridor,Grant Zone,Fabricated metals,2025,43.0k,43000,1,1,1,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2018,24.9 thousand,24900,1,0,0,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2019,24.5k,24500,1,0,0,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2020,23.3 K,23300,1,0,0,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2021,"23,811",23811,1,0,0,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2022,"25,688 jobs",25688,1,1,1,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2023,~26.9k,26900,1,1,1,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2024,28.9 thousand,28900,1,1,1,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull County, OH",Ohio funded corridor,Treated,Industrial tooling,2025,31.6k,31600,1,1,1,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
